arraySize,operation,sequentialTime,cudaTime
10000,Not,0.424928,0.939776
10000,Not2,0.54768,0.89312
10000,Not3,1.27542,0.882336
10000,And,0.409856,0.908704
10000,And2,0.406592,0.899584
10000,Or,0.407104,0.918816
10000,Or2,0.4216,0.931264
10000,Not,0.001312,0.850688
10000,Not2,0.504256,0.868256
10000,Not3,1.17411,0.919808
10000,And,0.419296,0.91696
10000,And2,0.42272,0.914336
10000,Or,0.419648,0.888832
10000,Or2,0.408256,0.888032
10000,Not,0.001312,0.871136
10000,Not2,0.495072,0.848992
10000,Not3,1.16458,0.920704
10000,And,0.417696,0.917216
10000,And2,0.416832,0.907648
10000,Or,0.422336,0.885312
10000,Or2,0.404416,0.8848
10000,Not,0.001408,0.852672
10000,Not2,0.461088,0.587296
10000,Not3,0.851744,0.911136
10000,And,0.418752,0.90352
10000,And2,0.41632,0.879296
10000,Or,0.40736,0.880576
10000,Or2,0.408384,0.629696
10000,Not,0.00128,0.864896
10000,Not2,0.445696,0.849696
10000,Not3,1.06451,0.87984
10000,And,0.403616,0.900416
10000,And2,0.40336,0.62256
10000,Or,0.001312,0.908096
10000,Or2,0.416608,0.913248
10000,Not,0.00128,0.877408
10000,Not2,0.449088,0.583872
10000,Not3,0.732768,0.909312
10000,And,0.417536,0.906496
10000,And2,0.41424,0.906304
10000,Or,0.414176,0.862368
10000,Or2,0.404608,0.601088
10000,Not,0.001312,0.559296
10000,Not2,0.001312,0.566816
10000,Not3,0.707232,0.623488
10000,And,0.001312,0.599328
10000,And2,0.413856,0.901184
10000,Or,0.41216,0.59104
10000,Or2,0.001536,0.603168
10000,Not,0.001344,0.586048
10000,Not2,0.00128,0.570624
10000,Not3,0.680288,0.610304
10000,And,0.001312,0.609152
10000,And2,0.00128,0.591616
10000,Or,0.001312,0.599072
10000,Or2,0.001344,0.597504
10000,Not,0.00128,0.558368
10000,Not2,0.001312,0.586752
10000,Not3,0.615552,0.596
10000,And,0.001376,0.598784
10000,And2,0.001312,0.604288
10000,Or,0.001312,0.605632
10000,Or2,0.00128,0.607904
10000,Not,0.00128,0.568768
10000,Not2,0.001312,0.572032
10000,Not3,0.595232,0.613728
10000,And,0.001312,0.604896
10000,And2,0.001376,0.605312
10000,Or,0.00128,0.60256
10000,Or2,0.00144,0.58688
10000,Not,0.001312,0.554368
10000,Not2,0.001568,0.55856
10000,Not3,0.594432,0.593728
10000,And,0.001312,0.589952
10000,And2,0.001312,0.602528
10000,Or,0.001312,0.595264
10000,Or2,0.001376,0.6016
10000,Not,0.00128,0.569376
10000,Not2,0.00128,0.576544
10000,Not3,0.5696,0.605248
10000,And,0.001344,0.5984
10000,And2,0.001312,0.602272
10000,Or,0.001312,0.579648
10000,Or2,0.001376,0.58912
10000,Not,0.001312,0.553728
10000,Not2,0.001312,0.566336
10000,Not3,0.51552,0.599456
10000,And,0.00128,0.598144
10000,And2,0.001344,0.599936
10000,Or,0.001312,0.598752
10000,Or2,0.001344,0.594784
10000,Not,0.001312,0.564928
10000,Not2,0.001536,0.545248
10000,Not3,0.52672,0.579808
10000,And,0.001344,0.584736
10000,And2,0.001312,0.307936
10000,Or,0.001312,0.576256
10000,Or2,0.001376,0.551168
10000,Not,0.001344,0.266304
10000,Not2,0.426656,0.267456
10000,Not3,0.797344,0.597856
10000,And,0.096544,0.547968
10000,And2,0.001376,0.59168
10000,Or,0.293088,0.589408
10000,Or2,0.001312,0.590848
10000,Not,0.001472,0.560032
10000,Not2,0.423296,0.55808
10000,Not3,0.786368,0.576896
10000,And,0.096384,0.307168
10000,And2,0.001312,0.566944
10000,Or,0.093152,0.575872
10000,Or2,0.10336,0.464448
10000,Not,0.001344,0.259648
10000,Not2,0.422688,0.268448
10000,Not3,0.47888,0.296928
10000,And,0.116576,0.472
10000,And2,0.001312,0.293728
10000,Or,0.00128,0.566688
10000,Or2,0.10416,0.486496
10000,Not,0.001376,0.261856
10000,Not2,0.404928,0.262944
10000,Not3,0.753632,0.29552
